src_iata,dst_iata,num_routes
ORD,ATL,20
ATL,ORD,19
HKT,BKK,13
ORD,MSY,13
ATL,MIA,12
AUH,MCT,12
BKK,HKG,12
CAN,HGH,12
DOH,BAH,12
HKG,BKK,12
JFK,LHR,12
LHR,JFK,12
MIA,ATL,12
ATL,DEN,11
ATL,DFW,11
CDG,JFK,11
CNX,BKK,11
DEN,ATL,11
HRE,LUN,11
JFK,CDG,11
JFK,MSY,11
KGL,EBB,11
LAX,LHR,11
LHR,LAX,11
MCT,AUH,11
MSY,JFK,11
SFO,ATL,11
SYD,AKL,11
AKL,SYD,10
ATL,JFK,10
ATL,LAX,10
BAH,DOH,10
BKK,CNX,10
BKK,HKT,10
BKK,ICN,10
BKK,SIN,10
CDG,ORD,10
CGK,KUL,10
CGK,SIN,10
CGO,HGH,10
CKG,XIY,10
CMB,MLE,10
DFW,ATL,10
DLC,HGH,10
DPS,SIN,10
HGH,CAN,10
HGH,CGO,10
HGH,DLC,10
HKG,ICN,10
ICN,BKK,10
ICN,HKG,10
ICN,NRT,10
JFK,MXP,10
JHG,KMG,10
KMG,JHG,10
KUL,CGK,10
KUL,SIN,10
LHR,SFO,10
MLE,CMB,10
MXP,JFK,10
NRT,ICN,10
NRT,TPE,10
ORD,CDG,10
SFO,LHR,10
SIN,CGK,10
SIN,DPS,10
SIN,KUL,10
TPE,NRT,10
XIY,CKG,10
ACE,LGW,9
ATL,CUN,9
ATL,IAD,9
ATL,IAH,9
ATL,IND,9
ATL,JAX,9
ATL,MSY,9
ATL,PHL,9
ATL,PHX,9
ATL,RDU,9
ATL,SFO,9
BCN,JFK,9
BKK,KUL,9
BNE,SIN,9
BOS,LHR,9
CDG,MIA,9
CGO,URC,9
CKG,KMG,9
CNS,BNE,9
CPT,JNB,9
CTU,HGH,9
CTU,KMG,9
CUN,ATL,9
DFW,FRA,9
DUB,JFK,9
FRA,DFW,9
HGH,CTU,9
HGH,TAO,9
HNL,LAX,9
IAD,ATL,9
IAH,ATL,9
